        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.859995219866e-12,        +2.692080566493e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.865629568337e-12,        +2.690287914258e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.864526570239e-12,        +2.679039502767e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.870533612248e-12,        +2.677311327056e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.870577785504e-12,        +2.667612189609e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.876934239694e-12,        +2.665972360257e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.877811254684e-12,        +2.658000887615e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.884485737655e-12,        +2.656477448655e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.885873754313e-12,        +2.650351412559e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.892827997434e-12,        +2.648975381589e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.894402872952e-12,        +2.644750880244e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.901592957129e-12,        +2.643555050988e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.903033702974e-12,        +2.641226475446e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.910411302022e-12,        +2.640244240911e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.911405859044e-12,        +2.639745321367e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.918919485017e-12,        +2.639009533016e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.919170838396e-12,        +2.640215563815e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.926767082954e-12,        +2.639757441711e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.925999676252e-12,        +2.642488805246e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.933624440983e-12,        +2.642336914849e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.931590774889e-12,        +2.646364021619e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.939190480937e-12,        +2.646543334283e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.935677703712e-12,        +2.651593064895e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.943200467383e-12,        +2.652124120687e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.938036688785e-12,        +2.657887793951e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.945433445706e-12,        +2.658785986567e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.938493443978e-12,        +2.664928788054e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.945719000419e-12,        +2.666203791830e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.936928953071e-12,        +2.672375485587e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.943942939874e-12,        +2.674030843428e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.933283802667e-12,        +2.679877466520e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.940051505529e-12,        +2.681910354674e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +2.927560696864e-12,        +2.687086474092e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.934053736945e-12,        +2.689487655021e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +2.919824858859e-12,        +2.693668665567e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.926021700219e-12,        +2.696422633753e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +2.910202138891e-12,        +2.699316509789e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.916088404045e-12,        +2.702401827630e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +2.898874792571e-12,        +2.703759723973e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.904443374391e-12,        +2.707149536559e-12,        +0.000000000000e+00,        +0.000000000000e+00
