        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +6.475865829040e+00,        -4.332148389775e-01,        -7.580047832006e-01,        +5.116424845941e+00,        +7.071067811865e+00,        -7.580047832006e-01,        +5.116424845941e+00,        +6.474131365563e+00,        -4.268587752895e-01
 1.02000000e+02,        +7.071067811865e+00,        +6.443127620687e+00,        -3.939063059436e-01,        -3.015548806846e-01,        +5.148762961833e+00,        +7.071067811865e+00,        -3.015548806846e-01,        +5.148762961833e+00,        +6.441968285838e+00,        -3.875558975079e-01
 1.04000000e+02,        +7.071067811865e+00,        +6.417810459130e+00,        -3.499939779397e-01,        +1.542002616548e-01,        +5.140968613105e+00,        +7.071067811865e+00,        +1.542002616548e-01,        +5.140968613105e+00,        +6.417180884796e+00,        -3.436962657688e-01
 1.06000000e+02,        +7.071067811865e+00,        +6.400574471656e+00,        -3.029160811435e-01,        +6.058524834095e-01,        +5.093510270305e+00,        +7.071067811865e+00,        +6.058524834095e-01,        +5.093510270305e+00,        +6.400436462668e+00,        -2.967065168573e-01
 1.08000000e+02,        +7.071067811865e+00,        +6.391806339300e+00,        -2.541906125067e-01,        +1.050090975404e+00,        +5.007114098477e+00,        +7.071067811865e+00,        +1.050090975404e+00,        +5.007114098477e+00,        +6.392129424865e+00,        -2.480967228200e-01
 1.10000000e+02,        +7.071067811865e+00,        +6.391613578174e+00,        -2.053657068143e-01,        +1.483712255506e+00,        +4.882746451645e+00,        +7.071067811865e+00,        +1.483712255506e+00,        +4.882746451645e+00,        +6.392374796229e+00,        -1.994103488776e-01
 1.12000000e+02,        +7.071067811865e+00,        +6.399827151838e+00,        -1.579707691489e-01,        +1.903627234357e+00,        +4.721599160072e+00,        +7.071067811865e+00,        +1.903627234357e+00,        +4.721599160072e+00,        +6.401010227610e+00,        -1.521748886613e-01
 1.14000000e+02,        +7.071067811865e+00,        +6.416011932265e+00,        -1.134695560232e-01,        +2.306866622455e+00,        +4.525077988934e+00,        +7.071067811865e+00,        +2.306866622455e+00,        +4.525077988934e+00,        +6.417606009344e+00,        -1.078543968030e-01
 1.16000000e+02,        +7.071067811865e+00,        +6.439484435993e+00,        -7.321624841156e-02,        +2.690585932369e+00,        +4.294794283302e+00,        +7.071067811865e+00,        +2.690585932369e+00,        +4.294794283302e+00,        +6.441482509547e+00,        -6.780499412276e-02
 1.18000000e+02,        +7.071067811865e+00,        +6.469337197719e+00,        -3.841544516250e-02,        +3.052071244347e+00,        +4.032559473628e+00,        +7.071067811865e+00,        +3.052071244347e+00,        +4.032559473628e+00,        +6.471734386716e+00,        -3.323430081579e-02
 1.20000000e+02,        +7.071067811865e+00,        +6.504469088557e+00,        -1.008691659073e-02,        +3.388746740899e+00,        +3.740381815214e+00,        +7.071067811865e+00,        +3.388746740899e+00,        +3.740381815214e+00,        +6.507260868353e+00,        -5.165659319268e-03
 1.22000000e+02,        +7.071067811865e+00,        +6.543620825227e+00,        +1.096411034953e-02,        +3.698184788392e+00,        +3.420464488338e+00,        +7.071067811865e+00,        +3.698184788392e+00,        +3.420464488338e+00,        +6.546801324775e+00,        +1.559206462588e-02
 1.24000000e+02,        +7.071067811865e+00,        +6.585414838846e+00,        +2.417042304000e-02,        +3.978119064994e+00,        +3.075204004289e+00,        +7.071067811865e+00,        +3.978119064994e+00,        +3.075204004289e+00,        +6.588975289011e+00,        +2.846837765961e-02
 1.26000000e+02,        +7.071067811865e+00,        +6.628398572468e+00,        +2.921940224213e-02,        +4.226460919689e+00,        +2.707187755859e+00,        +7.071067811865e+00,        +4.226460919689e+00,        +2.707187755859e+00,        +6.632325974036e+00,        +3.314809421488e-02
 1.28000000e+02,        +7.071067811865e+00,        +6.671090156315e+00,        +2.606214590418e-02,        +4.441318813489e+00,        +2.319189525879e+00,        +7.071067811865e+00,        +4.441318813489e+00,        +2.319189525879e+00,        +6.675366218840e+00,        +2.958074279411e-02
 1.30000000e+02,        +7.071067811865e+00,        +6.712025276485e+00,        +1.491469418473e-02,        +4.621020360392e+00,        +1.914161828219e+00,        +7.071067811865e+00,        +4.621020360392e+00,        +1.914161828219e+00,        +6.716625662306e+00,        +1.798199697235e-02
 1.32000000e+02,        +7.071067811865e+00,        +6.749803920365e+00,        -3.748922133573e-03,        +4.764136172797e+00,        +1.495224102586e+00,        +7.071067811865e+00,        +4.764136172797e+00,        +1.495224102586e+00,        +6.754697812279e+00,        -1.173146660466e-03
 1.34000000e+02,        +7.071067811865e+00,        +6.783135568233e+00,        -2.921187047277e-02,        +4.869504445924e+00,        +1.065646012625e+00,        +7.071067811865e+00,        +4.869504445924e+00,        +1.065646012625e+00,        +6.788285564548e+00,        -2.716550185942e-02
 1.36000000e+02,        +7.071067811865e+00,        +6.810881326020e+00,        -6.053773605438e-02,        +4.936255009940e+00,        +6.288253955330e-01,        +7.071067811865e+00,        +4.936255009940e+00,        +6.288253955330e-01,        +6.816243653223e+00,        -5.905492639453e-02
 1.38000000e+02,        +7.071067811865e+00,        +6.832091479291e+00,        -9.660125820098e-02,        +4.963831456566e+00,        +1.882607633815e-01,        +7.071067811865e+00,        +4.963831456566e+00,        +1.882607633815e-01,        +6.837616500639e+00,        -9.571113554897e-02
 1.40000000e+02,        +7.071067811865e+00,        +6.846037010354e+00,        -1.361257384224e-01,        +4.952009923838e+00,        -2.524813619595e-01,        +7.071067811865e+00,        +4.952009923838e+00,        -2.524813619595e-01,        +6.851669998410e+00,        -1.358512424325e-01
