        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +2.027060098802e-01,        +2.403053360292e-02,        -5.104959177644e-02,        +9.571622365612e-02,        +1.414213562373e-01,        -5.104959177644e-02,        +9.571622365612e-02,        +2.027020069289e-01,        +2.404191370740e-02
 1.02000000e+02,        +1.414213562373e-01,        +2.061764039603e-01,        +2.085244991302e-02,        -4.336992678153e-02,        +9.827537257655e-02,        +1.414213562373e-01,        -4.336992678153e-02,        +9.827537257655e-02,        +2.061699200021e-01,        +2.087139719066e-02
 1.04000000e+02,        +1.414213562373e-01,        +2.090838520935e-01,        +1.726437115631e-02,        -3.577070983065e-02,        +1.003452925038e-01,        +1.414213562373e-01,        -3.577070983065e-02,        +1.003452925038e-01,        +2.090753217303e-01,        +1.729120259472e-02
 1.06000000e+02,        +1.414213562373e-01,        +2.114012174097e-01,        +1.335179333807e-02,        -2.824644084028e-02,        +1.019806689551e-01,        +1.414213562373e-01,        -2.824644084028e-02,        +1.019806689551e-01,        +2.113912150888e-01,        +1.338694895232e-02
 1.08000000e+02,        +1.414213562373e-01,        +2.131098931250e-01,        +9.195808928933e-03,        -2.078152181752e-02,        +1.032244772251e-01,        +1.414213562373e-01,        -2.078152181752e-02,        +1.032244772251e-01,        +2.130991566250e-01,        +9.239802482001e-03
 1.10000000e+02,        +1.414213562373e-01,        +2.141975749797e-01,        +4.873797437598e-03,        -1.335320098495e-02,        +1.041073811186e-01,        +1.414213562373e-01,        -1.335320098495e-02,        +1.041073811186e-01,        +2.141870202122e-01,        +4.927169402763e-03
 1.12000000e+02,        +1.414213562373e-01,        +2.146566987218e-01,        +4.605606391844e-04,        -5.934183525812e-03,        +1.046474445200e-01,        +1.414213562373e-01,        -5.934183525812e-03,        +1.046474445200e-01,        +2.146474279278e-01,        +5.238331163985e-04
 1.14000000e+02,        +1.414213562373e-01,        +2.144835451042e-01,        -3.970280813420e-03,        +1.504993143400e-03,        +1.048500085881e-01,        +1.414213562373e-01,        +1.504993143401e-03,        +1.048500085881e-01,        +2.144768497639e-01,        -3.896648005472e-03
 1.16000000e+02,        +1.414213562373e-01,        +2.136780058537e-01,        -8.344779958679e-03,        +8.993696055842e-03,        +1.047076533384e-01,        +1.414213562373e-01,        +8.993696055842e-03,        +1.047076533384e-01,        +2.136753648646e-01,        -8.260433022981e-03
 1.18000000e+02,        +1.414213562373e-01,        +2.122440066272e-01,        -1.258718054115e-02,        +1.655891253733e-02,        +1.042002251447e-01,        +1.414213562373e-01,        +1.655891253733e-02,        +1.042002251447e-01,        +2.122470795626e-01,        -1.249191629253e-02
 1.20000000e+02,        +1.414213562373e-01,        +2.101905877609e-01,        -1.661859694261e-02,        +2.422281643676e-02,        +1.032949730665e-01,        +1.414213562373e-01,        +2.422281643676e-02,        +1.032949730665e-01,        +2.102012023042e-01,        -1.651240906664e-02
 1.22000000e+02,        +1.414213562373e-01,        +2.075336416637e-01,        -2.035601641098e-02,        +3.200007401663e-02,        +1.019468990910e-01,        +1.414213562373e-01,        +3.200007401663e-02,        +1.019468990910e-01,        +2.075537736424e-01,        -2.023914379199e-02
 1.24000000e+02,        +1.414213562373e-01,        +2.042982877156e-01,        -2.371181866295e-02,        +3.989481510447e-02,        +1.000994910512e-01,        +1.414213562373e-01,        +3.989481510447e-02,        +1.000994910512e-01,        +2.043300315626e-01,        -2.358479551061e-02
 1.26000000e+02,        +1.414213562373e-01,        +2.005218215172e-01,        -2.659405217174e-02,        +4.789725685380e-02,        +9.768606930067e-02,        +1.414213562373e-01,        +4.789725685380e-02,        +9.768606930067e-02,        +2.005673485482e-01,        -2.645775871202e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.962570954562e-01,        -2.890774769176e-02,        +5.598006308849e-02,        +9.463203049842e-02,        +1.414213562373e-01,        +5.598006308849e-02,        +9.463203049842e-02,        +1.963185971870e-01,        -2.876345890737e-02
 1.30000000e+02,        +1.414213562373e-01,        +1.915760646329e-01,        -3.055756879594e-02,        +6.409465833256e-02,        +9.085829729485e-02,        +1.414213562373e-01,        +6.409465833256e-02,        +9.085829729485e-02,        +1.916556786612e-01,        -3.040699712611e-02
 1.32000000e+02,        +1.414213562373e-01,        +1.865730668761e-01,        -3.145206867436e-02,        +7.216789158513e-02,        +8.628625525971e-02,        +1.414213562373e-01,        +7.216789158513e-02,        +8.628625525971e-02,        +1.866727838356e-01,        -3.129739483313e-02
 1.34000000e+02,        +1.414213562373e-01,        +1.813672139706e-01,        -3.150970760712e-02,        +8.009964479660e-02,        +8.084434474026e-02,        +1.414213562373e-01,        +8.009964479661e-02,        +8.084434474026e-02,        +1.814887659665e-01,        -3.135359201956e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.761030936106e-01,        -3.066655291622e-02,        +8.776216491900e-02,        +7.447624291423e-02,        +1.414213562373e-01,        +8.776216491900e-02,        +7.447624291423e-02,        +1.762478275032e-01,        -3.051211915500e-02
 1.38000000e+02,        +1.414213562373e-01,        +1.709488876723e-01,        -2.888521688265e-02,        +9.500199709751e-02,        +6.715020480178e-02,        +1.414213562373e-01,        +9.500199709751e-02,        +6.715020480178e-02,        +1.711176305039e-01,        -2.873599853877e-02
 1.40000000e+02,        +1.414213562373e-01,        +1.660910951970e-01,        -2.616411384529e-02,        +1.016453175079e-01,        +5.886865756547e-02,        +1.414213562373e-01,        +1.016453175079e-01,        +5.886865756547e-02,        +1.662840235031e-01,        -2.602395817349e-02
 1.42000000e+02,        +1.414213562373e-01,        +1.617253982974e-01,        -2.254562683224e-02,        +1.075071177439e-01,        +4.967665154812e-02,        +1.414213562373e-01,        +1.075071177439e-01,        +4.967665154812e-02,        +1.619419270568e-01,        -2.241855278359e-02
 1.44000000e+02,        +1.414213562373e-01,        +1.580438647022e-01,        -1.812142984629e-02,        +1.124040402785e-01,        +3.966742728215e-02,        +1.414213562373e-01,        +1.124040402785e-01,        +3.966742728215e-02,        +1.582825739223e-01,        -1.801144472201e-02
 1.46000000e+02,        +1.414213562373e-01,        +1.552195706055e-01,        -1.303321639191e-02,        +1.161697778418e-01,        +2.898336186333e-02,        +1.414213562373e-01,        +1.161697778418e-01,        +2.898336186333e-02,        +1.554781865637e-01,        -1.294410345992e-02
 1.48000000e+02,        +1.414213562373e-01,        +1.533906374665e-01,        -7.467596573695e-03,        +1.186710428687e-01,        +1.781106877554e-02,        +1.414213562373e-01,        +1.186710428687e-01,        +1.781106877554e-02,        +1.536660805150e-01,        -7.402693785994e-03
 1.50000000e+02,        +1.414213562373e-01,        +1.526462841156e-01,        -1.644950795247e-03,        +1.198215083311e-01,        +6.370448896883e-03,        +1.414213562373e-01,        +1.198215083311e-01,        +6.370448896883e-03,        +1.529347859300e-01,        -1.606945866331e-03
 1.52000000e+02,        +1.414213562373e-01,        +1.530174924751e-01,        +4.196649656994e-03,        +1.195911261131e-01,        -5.101190245877e-03,        +1.414213562373e-01,        +1.195911261131e-01,        -5.101190245877e-03,        +1.533147743836e-01,        +4.205882200786e-03
 1.54000000e+02,        +1.414213562373e-01,        +1.544741424715e-01,        +9.820132753837e-03,        +1.180089720392e-01,        -1.636762095748e-02,        +1.414213562373e-01,        +1.180089720392e-01,        -1.636762095748e-02,        +1.547756359081e-01,        +9.799632213922e-03
