        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e+02,        -7.189491458980e+00,        +2.091259565344e+01,        -2.095453176440e+00,        +1.173707208767e+02,        -2.095453176440e+00,        +1.173707208767e+02,        -7.192646464856e+00,        +2.097209130151e+01
 1.02000000e+02,        -6.907940802639e+00,        +1.725161995842e+01,        -2.167997170829e+00,        +1.130377864653e+02,        -2.167997170829e+00,        +1.130377864653e+02,        -6.910862104816e+00,        +1.730477927302e+01
 1.04000000e+02,        -6.685955379599e+00,        +1.360996834820e+01,        -2.228963017905e+00,        +1.087620644042e+02,        -2.228963017905e+00,        +1.087620644042e+02,        -6.688688247038e+00,        +1.365719512452e+01
 1.06000000e+02,        -6.518106979467e+00,        +9.986749661008e+00,        -2.277384648932e+00,        +1.045310258692e+02,        -2.277384648932e+00,        +1.045310258692e+02,        -6.520687052882e+00,        +1.002831751320e+01
 1.08000000e+02,        -6.400460936003e+00,        +6.378743266779e+00,        -2.312565784614e+00,        +1.003317473016e+02,        -2.312565784614e+00,        +1.003317473016e+02,        -6.402917089326e+00,        +6.414812910435e+00
 1.10000000e+02,        -6.330368596402e+00,        +2.781283713136e+00,        -2.334070140866e+00,        +9.615107475104e+01,        -2.334070140866e+00,        +9.615107475104e+01,        -6.332725042990e+00,        +2.811913055512e+00
 1.12000000e+02,        -6.306332123099e+00,        -8.110579805976e-01,        -2.341713856991e+00,        +9.197575797324e+01,        -2.341713856991e+00,        +9.197575797324e+01,        -6.308610068094e+00,        -7.859095752498e-01
 1.14000000e+02,        -6.327926644802e+00,        -4.403903619828e+00,        -2.335561003476e+00,        +8.779256691298e+01,        -2.335561003476e+00,        +8.779256691298e+01,        -6.330145692933e+00,        -4.384376248501e+00
 1.16000000e+02,        -6.395771399887e+00,        -8.002536631523e+00,        -2.315922500525e+00,        +8.358840328114e+01,        -2.315922500525e+00,        +8.358840328114e+01,        -6.397950883589e+00,        -7.988875897934e+00
 1.18000000e+02,        -6.511546413138e+00,        -1.161134779551e+01,        -2.283358296027e+00,        +7.935041973619e+01,        -2.283358296027e+00,        +7.935041973619e+01,        -6.513706795413e+00,        -1.160391648425e+01
 1.20000000e+02,        -6.678055473679e+00,        -1.523319363721e+01,        -2.238682173679e+00,        +7.506615877066e+01,        -2.238682173679e+00,        +7.506615877066e+01,        -6.680220001090e+00,        -1.523249015128e+01
 1.22000000e+02,        -6.899340587866e+00,        -1.886859093642e+01,        -2.182968052204e+00,        +7.072372266734e+01,        -2.182968052204e+00,        +7.072372266734e+01,        -6.901537428774e+00,        -1.887527646184e+01
 1.24000000e+02,        -7.180858565732e+00,        -2.251464425423e+01,        -2.117556070691e+00,        +6.631198456077e+01,        -2.117556070691e+00,        +6.631198456077e+01,        -7.183123788122e+00,        -2.252958181102e+01
 1.26000000e+02,        -7.529738174075e+00,        -2.616355364232e+01,        -2.044056130116e+00,        +6.182084830487e+01,        -2.044056130116e+00,        +6.182084830487e+01,        -7.532120140676e+00,        -2.618786401586e+01
 1.28000000e+02,        -7.955148223889e+00,        -2.980045805329e+01,        -1.964345909220e+00,        +5.724156098962e+01,        -1.964345909220e+00,        +5.724156098962e+01,        -7.957714401601e+00,        -2.983560053772e+01
 1.30000000e+02,        -8.468826110474e+00,        -3.340019724040e+01,        -1.880559775071e+00,        +5.256707603235e+01,        -1.880559775071e+00,        +5.256707603235e+01,        -8.471674101623e+00,        -3.344808797565e+01
 1.32000000e+02,        -9.085847699441e+00,        -3.692223668386e+01,        -1.795064608097e+00,        +4.779245640034e+01,        -1.795064608097e+00,        +4.779245640034e+01,        -9.089123935824e+00,        -3.698542556410e+01
 1.34000000e+02,        -9.825770770235e+00,        -4.030230606889e+01,        -1.710418565043e+00,        +4.291529670389e+01,        -1.710418565043e+00,        +4.291529670389e+01,        -9.829703777604e+00,        -4.038424720715e+01
 1.36000000e+02,        -1.071436465388e+01,        -4.343779949682e+01,        -1.629309462195e+00,        +3.793613035922e+01,        -1.629309462195e+00,        +3.793613035922e+01,        -1.071932761044e+01,        -4.354327377633e+01
 1.38000000e+02,        -1.178624443418e+01,        -4.616052910033e+01,        -1.554471014029e+00,        +3.285877551872e+01,        -1.554471014029e+00,        +3.285877551872e+01,        -1.179288063323e+01,        -4.629631294157e+01
 1.40000000e+02,        -1.308875685074e+01,        -4.818191405846e+01,        -1.488577737578e+00,        +2.769056392465e+01,        -1.488577737578e+00,        +2.769056392465e+01,        -1.309825095014e+01,        -4.835781673191e+01
 1.42000000e+02,        -1.468674503004e+01,        -4.897326409388e+01,        -1.434122822376e+00,        +2.244239405319e+01,        -1.434122822376e+00,        +2.244239405319e+01,        -1.470146157704e+01,        -4.920350057380e+01
 1.44000000e+02,        -1.666241791615e+01,        -4.748247116104e+01,        -1.393287215808e+00,        +1.712855762959e+01,        -1.393287215808e+00,        +1.712855762959e+01,        -1.668753220346e+01,        -4.778579489450e+01
 1.46000000e+02,        -1.907133045186e+01,        -4.144553981576e+01,        -1.367811763583e+00,        +1.176630902950e+01,        -1.367811763583e+00,        +1.176630902950e+01,        -1.911899128348e+01,        -4.183174745281e+01
 1.48000000e+02,        -2.164067546317e+01,        -2.624437320094e+01,        -1.358886430025e+00,        +6.375179285902e+00,        -1.358886430025e+00,        +6.375179285902e+00,        -2.173494303804e+01,        -2.661800236349e+01
 1.50000000e+02,        -2.283250412317e+01,        +1.179499736607e+00,        -1.367070451266e+00,        +9.760753207160e-01,        -1.367070451266e+00,        +9.760753207160e-01,        -2.296801489783e+01,        +1.200709805275e+00
 1.52000000e+02,        -2.125654306156e+01,        +2.688968168215e+01,        -1.392254293886e+00,        -4.409757979160e+00,        -1.392254293886e+00,        -4.409757979160e+00,        -2.135827964471e+01,        +2.731003146686e+01
 1.54000000e+02,        -1.868696571347e+01,        +4.008434084040e+01,        -1.433668851486e+00,        -9.761809807191e+00,        -1.433668851486e+00,        -9.761809807191e+00,        -1.874734446707e+01,        +4.056065487470e+01
 1.56000000e+02,        -1.638318999821e+01,        +4.513199542066e+01,        -1.489940571357e+00,        -1.506130002557e+01,        -1.489940571357e+00,        -1.506130002557e+01,        -1.642111682264e+01,        +4.556411151581e+01
 1.58000000e+02,        -1.450917801904e+01,        +4.619388818444e+01,        -1.559184780217e+00,        -2.029200498896e+01,        -1.559184780217e+00,        -2.029200498896e+01,        -1.453532054530e+01,        +4.657657409164e+01
 1.60000000e+02,        -1.299518556518e+01,        +4.523779873103e+01,        -1.639124875564e+00,        -2.544084817041e+01,        -1.639124875564e+00,        -2.544084817041e+01,        -1.301462537798e+01,        +4.558059830455e+01
 1.62000000e+02,        -1.176090423442e+01,        +4.318571674655e+01,        -1.727223141914e+00,        -3.049823002055e+01,        -1.727223141914e+00,        -3.049823002055e+01,        -1.177620794989e+01,        +4.349791617156e+01
 1.64000000e+02,        -1.074473213901e+01,        +4.050608878495e+01,        -1.820809763192e+00,        -3.545810868988e+01,        -1.820809763192e+00,        -3.545810868988e+01,        -1.075730666830e+01,        +4.079484923336e+01
 1.66000000e+02,        -9.901905823290e+00,        +3.745630836358e+01,        -1.917199445431e+00,        -4.031787132874e+01,        -1.917199445431e+00,        -4.031787132874e+01,        -9.912580617606e+00,        +3.772696423087e+01
 1.68000000e+02,        -9.199731554358e+00,        +3.418659450759e+01,        -2.013788904328e+00,        -4.507805117434e+01,        -2.013788904328e+00,        -4.507805117434e+01,        -9.209025835439e+00,        +3.444315489917e+01
 1.70000000e+02,        -8.613908497111e+00,        +3.078830005010e+01,        -2.108132321557e+00,        -4.974194896182e+01,        -2.108132321557e+00,        -4.974194896182e+01,        -8.622163415779e+00,        +3.103384435470e+01
