        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e+02,        +2.659101097861e-12,        +2.213049306229e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.658499424143e-12,        +2.212700451288e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+02,        +2.588035382279e-12,        +2.190326242664e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.587507830670e-12,        +2.190030272501e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +2.525094619366e-12,        +2.176236854166e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.524643390869e-12,        +2.175998168354e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.470956021127e-12,        +2.170512260106e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.470583356311e-12,        +2.170335587719e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+02,        +2.426118537417e-12,        +2.172838631327e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.425826836911e-12,        +2.172729000634e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+02,        +2.390945005452e-12,        +2.182873763006e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.390736928549e-12,        +2.182836462012e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +2.365693198870e-12,        +2.200253301614e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.365571738806e-12,        +2.200293823736e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+02,        +2.350535337824e-12,        +2.224587882925e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.350503871779e-12,        +2.224711851027e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.345565941774e-12,        +2.255452235528e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.345628252519e-12,        +2.255665296538e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+02,        +2.350797987552e-12,        +2.292367142774e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.350958252111e-12,        +2.292674824175e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +2.366147364046e-12,        +2.334775149193e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.366410103045e-12,        +2.335182668151e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+02,        +2.391405771693e-12,        +2.382011143883e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.391775751386e-12,        +2.382523160011e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+02,        +2.426202682504e-12,        +2.433269540602e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.426684760372e-12,        +2.433889844902e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.469957938385e-12,        +2.487570766309e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.470556843122e-12,        +2.488301902447e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +2.521828179442e-12,        +2.543731171734e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.522548217980e-12,        +2.544573992279e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+02,        +2.580652626339e-12,        +2.600342175441e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.581497315101e-12,        +2.601295345724e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+02,        +2.644906656241e-12,        +2.655766134685e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.645878281962e-12,        +2.656825610751e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+02,        +2.712674632105e-12,        +2.708157523978e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.713773759701e-12,        +2.709316047915e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +2.781655632911e-12,        +2.755517652801e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.782880593471e-12,        +2.756764326204e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +2.849215714164e-12,        +2.795788418073e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.850562123035e-12,        +2.797108428215e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +2.912496599024e-12,        +2.826984793032e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.913956968257e-12,        +2.828359370648e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +2.968582301459e-12,        +2.847357085733e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.970145817071e-12,        +2.848763761981e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +3.014712612807e-12,        +2.855564033698e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.016365139963e-12,        +2.856977233140e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +3.048518286703e-12,        +2.850829571440e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.050242642009e-12,        +2.852221529378e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+02,        +3.068241700421e-12,        +2.833053291796e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.070018191873e-12,        +2.834395226692e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +3.072903683303e-12,        +2.802849870378e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.074710872915e-12,        +2.804113290021e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +3.062384914123e-12,        +2.761505898395e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.064200517718e-12,        +2.762663887866e-12,        +0.000000000000e+00,        +0.000000000000e+00
