        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e+02,        +1.414213562373e-01,        +7.555254439918e-02,        -2.249981050220e-02,        -3.323314516913e-02,        +9.566851583757e-02,        +1.414213562373e-01,        -3.323314516913e-02,        +9.566851583757e-02,        +7.553573870824e-02,        -2.248254740759e-02
 1.02000000e+02,        +1.414213562373e-01,        +7.287326612872e-02,        -1.890546592264e-02,        -2.566415382351e-02,        +9.687599462682e-02,        +1.414213562373e-01,        -2.566415382351e-02,        +9.687599462682e-02,        +7.285905319812e-02,        -1.888895488759e-02
 1.04000000e+02,        +1.414213562373e-01,        +7.079842707801e-02,        -1.502970063862e-02,        -1.824570521012e-02,        +9.764029290476e-02,        +1.414213562373e-01,        -1.824570521012e-02,        +9.764029290476e-02,        +7.078659544350e-02,        -1.501385861950e-02
 1.06000000e+02,        +1.414213562373e-01,        +6.933832050678e-02,        -1.095885733299e-02,        -1.096117486521e-02,        +9.801062625293e-02,        +1.414213562373e-01,        -1.096117486521e-02,        +9.801062625293e-02,        +6.932871777721e-02,        -1.094353767516e-02
 1.08000000e+02,        +1.414213562373e-01,        +6.849603947252e-02,        -6.773701190632e-03,        -3.786758066372e-03,        +9.802272349980e-02,        +1.414213562373e-01,        -3.786758066372e-03,        +9.802272349980e-02,        +6.848858281534e-02,        -6.758706890032e-03
 1.10000000e+02,        +1.414213562373e-01,        +6.826939518123e-02,        -2.550614373306e-03,        +3.305524618205e-03,        +9.769883076911e-02,        +1.414213562373e-01,        +3.305524618205e-03,        +9.769883076911e-02,        +6.826408016845e-02,        -2.535711621174e-03
 1.12000000e+02,        +1.414213562373e-01,        +6.865206757758e-02,        +1.636935124961e-03,        +1.034518809135e-02,        +9.704794237977e-02,        +1.414213562373e-01,        +1.034518809135e-02,        +9.704794237977e-02,        +6.864897585635e-02,        +1.652002887321e-03
 1.14000000e+02,        +1.414213562373e-01,        +6.963402430452e-02,        +5.716835892554e-03,        +1.736087361388e-02,        +9.606614664392e-02,        +1.414213562373e-01,        +1.736087361388e-02,        +9.606614664392e-02,        +6.963333034150e-02,        +5.732333007545e-03
 1.16000000e+02,        +1.414213562373e-01,        +7.120124525151e-02,        +9.616841961586e-03,        +2.437802585182e-02,        +9.473704929257e-02,        +1.414213562373e-01,        +2.437802585182e-02,        +9.473704929258e-02,        +7.120322215389e-02,        +9.633024165815e-03
 1.18000000e+02,        +1.414213562373e-01,        +7.333478580952e-02,        +1.326329399935e-02,        +3.141652108761e-02,        +9.303230548354e-02,        +1.414213562373e-01,        +3.141652108761e-02,        +9.303230548354e-02,        +7.333980994809e-02,        +1.328039005206e-02
 1.20000000e+02,        +1.414213562373e-01,        +7.600921316061e-02,        +1.658020875648e-02,        +3.848813579373e-02,        +9.091235543291e-02,        +1.414213562373e-01,        +3.848813579374e-02,        +9.091235543292e-02,        +7.601776701031e-02,        +1.659839955434e-02
