        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e+02,        +7.071067811865e+00,        +7.424225346588e+00,        -1.215787247828e-01,        -2.021969873275e+00,        +5.555373815936e+00,        +7.071067811865e+00,        -2.021969873275e+00,        +5.555373815936e+00,        +7.426434904295e+00,        -1.261327223970e-01
 1.02000000e+02,        +7.071067811865e+00,        +7.419682015129e+00,        -1.489427088585e-01,        -1.538203668897e+00,        +5.696327547259e+00,        +7.071067811865e+00,        -1.538203668897e+00,        +5.696327547259e+00,        +7.421447564822e+00,        -1.533453895423e-01
 1.04000000e+02,        +7.071067811865e+00,        +7.410506570805e+00,        -1.750808053224e-01,        -1.045156299323e+00,        +5.795547865649e+00,        +7.071067811865e+00,        -1.045156299323e+00,        +5.795547865649e+00,        +7.411866108078e+00,        -1.792768028451e-01
 1.06000000e+02,        +7.071067811865e+00,        +7.397023759755e+00,        -1.992516338368e-01,        -5.463791593766e-01,        +5.852452033260e+00,        +7.071067811865e+00,        -5.463791593766e-01,        +5.852452033260e+00,        +7.398022523525e+00,        -2.031923647954e-01
 1.08000000e+02,        +7.071067811865e+00,        +7.379671907005e+00,        -2.207854338176e-01,        -4.546454798792e-02,        +5.866753859465e+00,        +7.071067811865e+00,        -4.546454798792e-02,        +5.866753859465e+00,        +7.380361249888e+00,        -2.244300625656e-01
 1.10000000e+02,        +7.071067811865e+00,        +7.358988811882e+00,        -2.391009285791e-01,        +4.539785634899e-01,        +5.838468753645e+00,        +7.071067811865e+00,        +4.539785634899e-01,        +5.838468753645e+00,        +7.359424939528e+00,        -2.424171487539e-01
 1.12000000e+02,        +7.071067811865e+00,        +7.335595178966e+00,        -2.537196462955e-01,        +9.483498720454e-01,        +5.767916814663e+00,        +7.071067811865e+00,        +9.483498720454e-01,        +5.767916814663e+00,        +7.335837787654e+00,        -2.566842605269e-01
 1.14000000e+02,        +7.071067811865e+00,        +7.310175998801e+00,        -2.642773268386e-01,        +1.434084027731e+00,        +5.655723676778e+00,        +7.071067811865e+00,        +1.434084027731e+00,        +5.655723676778e+00,        +7.310286843368e+00,        -2.668766108135e-01
 1.16000000e+02,        +7.071067811865e+00,        +7.283460357925e+00,        -2.705320988584e-01,        +1.907677624881e+00,        +5.502818844688e+00,        +7.071067811865e+00,        +1.907677624881e+00,        +5.502818844688e+00,        +7.283501784236e+00,        -2.727619409961e-01
 1.18000000e+02,        +7.071067811865e+00,        +7.256200220335e+00,        -2.723691835469e-01,        +2.365716588540e+00,        +5.310431284053e+00,        +7.071067811865e+00,        +2.365716588540e+00,        +5.310431284053e+00,        +7.256233697770e+00,        -2.742349970283e-01
 1.20000000e+02,        +7.071067811865e+00,        +7.229148775468e+00,        -2.698019724149e-01,        +2.804903577150e+00,        +5.080082090164e+00,        +7.071067811865e+00,        +2.804903577150e+00,        +5.080082090164e+00,        +7.229233465316e+00,        -2.713183820735e-01
 1.22000000e+02,        +7.071067811865e+00,        +7.203038983399e+00,        -2.629694345498e-01,        +3.222084969422e+00,        +4.813574134628e+00,        +7.071067811865e+00,        +3.222084969422e+00,        +4.813574134628e+00,        +7.203230378420e+00,        -2.641597470111e-01
 1.24000000e+02,        +7.071067811865e+00,        +7.178562959261e+00,        -2.521299289857e-01,        +3.614276972146e+00,        +4.512978682629e+00,        +7.071067811865e+00,        +3.614276972146e+00,        +4.512978682629e+00,        +7.178911628032e+00,        -2.530254002304e-01
 1.26000000e+02,        +7.071067811865e+00,        +7.156352821927e+00,        -2.376516220756e-01,        +3.978690380882e+00,        +4.180619073320e+00,        +7.071067811865e+00,        +3.978690380882e+00,        +4.180619073320e+00,        +7.156903288882e+00,        -2.382905420827e-01
 1.28000000e+02,        +7.071067811865e+00,        +7.136963585965e+00,        -2.199998292388e-01,        +4.312753547812e+00,        +3.819051654154e+00,        +7.071067811865e+00,        +4.312753547812e+00,        +3.819051654154e+00,        +7.137753374350e+00,        -2.204264483140e-01
 1.30000000e+02,        +7.071067811865e+00,        +7.120858603549e+00,        -1.997217069704e-01,        +4.614133158086e+00,        +3.431044248240e+00,        +7.071067811865e+00,        +4.614133158086e+00,        +3.431044248240e+00,        +7.121917463975e+00,        -1.999850325826e-01
 1.32000000e+02,        +7.071067811865e+00,        +7.108397969461e+00,        -1.774288082158e-01,        +4.880752482609e+00,        +3.019552505650e+00,        +7.071067811865e+00,        +4.880752482609e+00,        +3.019552505650e+00,        +7.109747311509e+00,        -1.775813044839e-01
 1.34000000e+02,        +7.071067811865e+00,        +7.099830193798e+00,        -1.537780781283e-01,        +5.110806855145e+00,        +2.587694541185e+00,        +7.071067811865e+00,        +5.110806855145e+00,        +2.587694541185e+00,        +7.101482732390e+00,        -1.538743024076e-01
 1.36000000e+02,        +7.071067811865e+00,        +7.095287330171e+00,        -1.294519061053e-01,        +5.302776208340e+00,        +2.138724290783e+00,        +7.071067811865e+00,        +5.302776208340e+00,        +2.138724290783e+00,        +7.097246952442e+00,        -1.295471183472e-01
 1.38000000e+02,        +7.071067811865e+00,        +7.094783628112e+00,        -1.051378639294e-01,        +5.455434590625e+00,        +1.676004026944e+00,        +7.071067811865e+00,        +5.455434590625e+00,        +1.676004026944e+00,        +7.097045480445e+00,        -1.052866446230e-01
