design_ghz,return_loss,isolation,excess_loss,imbalance,phase_diff,phase_err
60.0000,-30.5463,-16.4814,1.3299,-1.2174,88.7425,-1.2575
80.0000,-31.1156,-16.7490,1.1261,-1.2999,88.3035,-1.6965
100.0000,-29.9787,-16.7969,0.9991,-1.3631,87.9145,-2.0855
120.0000,-28.9111,-16.7444,0.9149,-1.4193,87.5786,-2.4214
140.0000,-27.7501,-16.6617,0.8546,-1.4577,87.2821,-2.7179
160.0000,-26.8404,-16.4275,0.8125,-1.5098,86.8774,-3.1226
180.0000,-26.0956,-16.2044,0.7825,-1.5527,86.4715,-3.5285
200.0000,-25.5178,-15.9541,0.7618,-1.5925,86.1125,-3.8875
220.0000,-25.1453,-15.7167,0.7462,-1.6191,85.8184,-4.1816
240.0000,-24.7515,-15.4351,0.7404,-1.6684,85.3920,-4.6080
260.0000,-24.2069,-15.0966,0.7415,-1.7380,84.9126,-5.0874
280.0000,-24.0558,-14.8758,0.7432,-1.7667,84.5079,-5.4921
300.0000,-23.6401,-14.5695,0.7512,-1.8268,84.0535,-5.9465
