signal,ground,width_um,Zc,loss
topmetal1,metal1,1.0,93.5049,2.6366
topmetal1,metal1,2.0,74.4361,2.3812
topmetal1,metal1,3.0,67.1734,1.9235
topmetal1,metal1,5.0,54.8644,1.9260
topmetal1,metal1,7.0,47.4422,1.7742
topmetal1,metal1,10.0,40.3377,1.7098
topmetal1,metal1,15.0,32.7106,1.6560
topmetal1,metal1,20.0,27.6294,1.6325
topmetal2,metal1,2.0,109.5948,1.4574
topmetal2,metal1,3.0,89.0461,1.3190
topmetal2,metal1,5.0,75.4168,1.4159
topmetal2,metal1,7.0,67.1553,1.0978
topmetal2,metal1,10.0,59.0184,1.0131
topmetal2,metal1,15.0,49.5753,0.9103
topmetal2,metal1,20.0,43.1113,0.8567
topmetal1,metal2,1.0,81.9118,2.7754
topmetal1,metal2,2.0,66.7015,2.3258
topmetal1,metal2,3.0,58.4303,2.2464
topmetal1,metal2,5.0,48.4004,2.0780
topmetal1,metal2,7.0,41.7207,1.9733
topmetal1,metal2,10.0,35.2702,1.9146
topmetal1,metal2,15.0,28.1494,1.8890
topmetal1,metal2,20.0,23.4847,1.8755
topmetal2,metal2,2.0,101.7186,1.6665
topmetal2,metal2,3.0,84.1423,1.3223
topmetal2,metal2,5.0,71.5450,1.1734
topmetal2,metal2,7.0,63.5238,0.9655
topmetal2,metal2,10.0,55.6707,0.9386
topmetal2,metal2,15.0,46.4727,0.9534
topmetal2,metal2,20.0,40.2360,0.9057
topmetal1,metal3,1.0,72.2278,3.2072
topmetal1,metal3,2.0,57.8179,2.7620
topmetal1,metal3,3.0,50.3780,2.5847
topmetal1,metal3,5.0,41.4400,2.5650
topmetal1,metal3,7.0,35.3059,2.4891
topmetal1,metal3,10.0,29.2480,2.4641
topmetal1,metal3,15.0,22.8794,2.4648
topmetal1,metal3,20.0,18.8742,2.4743
topmetal2,metal3,2.0,94.3158,1.5343
topmetal2,metal3,3.0,79.0799,1.3998
topmetal2,metal3,5.0,67.3042,1.0756
topmetal2,metal3,7.0,59.4698,1.0653
topmetal2,metal3,10.0,52.3020,1.0980
topmetal2,metal3,15.0,43.1653,1.0329
topmetal2,metal3,20.0,37.2417,0.9916
topmetal1,metal4,1.0,59.6755,4.0323
topmetal1,metal4,2.0,47.2072,3.6252
topmetal1,metal4,3.0,40.4366,3.6632
topmetal1,metal4,5.0,32.1346,3.6137
topmetal1,metal4,7.0,27.0431,3.6640
topmetal1,metal4,10.0,21.9870,3.6332
topmetal1,metal4,15.0,16.7337,3.7293
topmetal1,metal4,20.0,13.5746,3.7557
topmetal2,metal4,2.0,83.6148,1.6421
topmetal2,metal4,3.0,75.5613,1.6785
topmetal2,metal4,5.0,62.4724,1.3487
topmetal2,metal4,7.0,55.3901,1.1661
topmetal2,metal4,10.0,48.3448,1.1336
topmetal2,metal4,15.0,39.5973,1.1386
topmetal2,metal4,20.0,33.8627,1.1094
topmetal1,metal5,1.0,41.3476,6.7565
topmetal1,metal5,2.0,32.2421,6.6926
topmetal1,metal5,3.0,26.5635,6.8956
topmetal1,metal5,5.0,19.9890,7.1550
topmetal1,metal5,7.0,16.0961,7.4059
topmetal1,metal5,10.0,12.5028,7.6312
topmetal1,metal5,15.0,9.1586,7.8975
topmetal1,metal5,20.0,7.2424,8.0321
topmetal2,metal5,2.0,77.2103,1.7889
topmetal2,metal5,3.0,68.0558,1.4615
topmetal2,metal5,5.0,58.2208,1.3432
topmetal2,metal5,7.0,50.8835,1.4068
topmetal2,metal5,10.0,43.7895,1.3517
topmetal2,metal5,15.0,35.7051,1.2882
topmetal2,metal5,20.0,30.2692,1.2728
topmetal2,topmetal1,2.0,55.5475,2.3749
topmetal2,topmetal1,3.0,49.0253,2.1993
topmetal2,topmetal1,5.0,40.2408,2.2135
topmetal2,topmetal1,7.0,34.4789,2.2325
topmetal2,topmetal1,10.0,28.7006,2.1920
topmetal2,topmetal1,15.0,22.3955,2.2252
topmetal2,topmetal1,20.0,18.4422,2.2486
