signal,ground,width_um,loss
topmetal1,metal1,1.0,2.4197
topmetal1,metal1,2.0,2.0091
topmetal1,metal1,3.0,1.8094
topmetal1,metal1,5.0,1.6762
topmetal1,metal1,7.0,1.6161
topmetal1,metal1,10.0,1.5645
topmetal1,metal1,15.0,1.5401
topmetal1,metal1,20.0,1.5240
topmetal2,metal1,2.0,1.3230
topmetal2,metal1,3.0,1.1877
topmetal2,metal1,5.0,1.0454
topmetal2,metal1,7.0,0.9788
topmetal2,metal1,10.0,0.9070
topmetal2,metal1,15.0,0.8499
topmetal2,metal1,20.0,0.8113
topmetal1,metal2,1.0,2.5184
topmetal1,metal2,2.0,2.1011
topmetal1,metal2,3.0,1.9542
topmetal1,metal2,5.0,1.8289
topmetal1,metal2,7.0,1.7877
topmetal1,metal2,10.0,1.7479
topmetal1,metal2,15.0,1.7271
topmetal1,metal2,20.0,1.7204
topmetal2,metal2,2.0,1.2926
topmetal2,metal2,3.0,1.1802
topmetal2,metal2,5.0,1.0417
topmetal2,metal2,7.0,0.9839
topmetal2,metal2,10.0,0.9110
topmetal2,metal2,15.0,0.8576
topmetal2,metal2,20.0,0.8211
topmetal1,metal3,1.0,2.9060
topmetal1,metal3,2.0,2.4963
topmetal1,metal3,3.0,2.3723
topmetal1,metal3,5.0,2.2873
topmetal1,metal3,7.0,2.2654
topmetal1,metal3,10.0,2.2507
topmetal1,metal3,15.0,2.2612
topmetal1,metal3,20.0,2.2765
topmetal2,metal3,2.0,1.3775
topmetal2,metal3,3.0,1.2497
topmetal2,metal3,5.0,1.1087
topmetal2,metal3,7.0,1.0608
topmetal2,metal3,10.0,0.9823
topmetal2,metal3,15.0,0.9322
topmetal2,metal3,20.0,0.9012
topmetal1,metal4,1.0,3.6187
topmetal1,metal4,2.0,3.3209
topmetal1,metal4,3.0,3.2652
topmetal1,metal4,5.0,3.2566
topmetal1,metal4,7.0,3.3551
topmetal1,metal4,10.0,3.3405
topmetal1,metal4,15.0,3.4315
topmetal1,metal4,20.0,3.4688
topmetal2,metal4,2.0,1.4741
topmetal2,metal4,3.0,1.3380
topmetal2,metal4,5.0,1.2023
topmetal2,metal4,7.0,1.1417
topmetal2,metal4,10.0,1.0748
topmetal2,metal4,15.0,1.0315
topmetal2,metal4,20.0,1.0102
topmetal1,metal5,1.0,6.0919
topmetal1,metal5,2.0,6.0001
topmetal1,metal5,3.0,6.2591
topmetal1,metal5,5.0,6.5594
topmetal1,metal5,7.0,6.7771
topmetal1,metal5,10.0,7.0002
topmetal1,metal5,15.0,7.2608
topmetal1,metal5,20.0,7.3944
topmetal2,metal5,2.0,1.6057
topmetal2,metal5,3.0,1.4549
topmetal2,metal5,5.0,1.3212
topmetal2,metal5,7.0,1.2627
topmetal2,metal5,10.0,1.2018
topmetal2,metal5,15.0,1.1716
topmetal2,metal5,20.0,1.1611
topmetal2,topmetal1,2.0,2.0841
topmetal2,topmetal1,3.0,2.0159
topmetal2,topmetal1,5.0,1.9473
topmetal2,topmetal1,7.0,1.9416
topmetal2,topmetal1,10.0,1.9350
topmetal2,topmetal1,15.0,1.9678
topmetal2,topmetal1,20.0,1.9910
