signal,ground,width_um,loss
topmetal1,metal1,1.0,2.6366
topmetal1,metal1,2.0,2.3812
topmetal1,metal1,3.0,1.9235
topmetal1,metal1,5.0,1.9260
topmetal1,metal1,7.0,1.7742
topmetal1,metal1,10.0,1.7098
topmetal1,metal1,15.0,1.6560
topmetal1,metal1,20.0,1.6325
topmetal2,metal1,2.0,1.4574
topmetal2,metal1,3.0,1.3190
topmetal2,metal1,5.0,1.4159
topmetal2,metal1,7.0,1.0978
topmetal2,metal1,10.0,1.0131
topmetal2,metal1,15.0,0.9103
topmetal2,metal1,20.0,0.8567
topmetal1,metal2,1.0,2.7754
topmetal1,metal2,2.0,2.3258
topmetal1,metal2,3.0,2.2464
topmetal1,metal2,5.0,2.0780
topmetal1,metal2,7.0,1.9733
topmetal1,metal2,10.0,1.9146
topmetal1,metal2,15.0,1.8890
topmetal1,metal2,20.0,1.8755
topmetal2,metal2,2.0,1.6665
topmetal2,metal2,3.0,1.3223
topmetal2,metal2,5.0,1.1734
topmetal2,metal2,7.0,0.9655
topmetal2,metal2,10.0,0.9386
topmetal2,metal2,15.0,0.9534
topmetal2,metal2,20.0,0.9057
topmetal1,metal3,1.0,3.2072
topmetal1,metal3,2.0,2.7620
topmetal1,metal3,3.0,2.5847
topmetal1,metal3,5.0,2.5650
topmetal1,metal3,7.0,2.4891
topmetal1,metal3,10.0,2.4641
topmetal1,metal3,15.0,2.4648
topmetal1,metal3,20.0,2.4743
topmetal2,metal3,2.0,1.5343
topmetal2,metal3,3.0,1.3998
topmetal2,metal3,5.0,1.0756
topmetal2,metal3,7.0,1.0653
topmetal2,metal3,10.0,1.0980
topmetal2,metal3,15.0,1.0329
topmetal2,metal3,20.0,0.9916
topmetal1,metal4,1.0,4.0323
topmetal1,metal4,2.0,3.6252
topmetal1,metal4,3.0,3.6632
topmetal1,metal4,5.0,3.6137
topmetal1,metal4,7.0,3.6640
topmetal1,metal4,10.0,3.6332
topmetal1,metal4,15.0,3.7293
topmetal1,metal4,20.0,3.7557
topmetal2,metal4,2.0,1.6421
topmetal2,metal4,3.0,1.6785
topmetal2,metal4,5.0,1.3487
topmetal2,metal4,7.0,1.1661
topmetal2,metal4,10.0,1.1336
topmetal2,metal4,15.0,1.1386
topmetal2,metal4,20.0,1.1094
topmetal1,metal5,1.0,6.7565
topmetal1,metal5,2.0,6.6926
topmetal1,metal5,3.0,6.8956
topmetal1,metal5,5.0,7.1550
topmetal1,metal5,7.0,7.4059
topmetal1,metal5,10.0,7.6312
topmetal1,metal5,15.0,7.8975
topmetal1,metal5,20.0,8.0321
topmetal2,metal5,2.0,1.7889
topmetal2,metal5,3.0,1.4615
topmetal2,metal5,5.0,1.3432
topmetal2,metal5,7.0,1.4068
topmetal2,metal5,10.0,1.3517
topmetal2,metal5,15.0,1.2882
topmetal2,metal5,20.0,1.2728
topmetal2,topmetal1,2.0,2.3749
topmetal2,topmetal1,3.0,2.1993
topmetal2,topmetal1,5.0,2.2135
topmetal2,topmetal1,7.0,2.2325
topmetal2,topmetal1,10.0,2.1920
topmetal2,topmetal1,15.0,2.2252
topmetal2,topmetal1,20.0,2.2486
