signal,ground,width_um,Zc
topmetal1,metal1,1.0,95.8370
topmetal1,metal1,2.0,76.3287
topmetal1,metal1,3.0,66.9810
topmetal1,metal1,5.0,55.2543
topmetal1,metal1,7.0,47.7285
topmetal1,metal1,7.2,47.0290
topmetal1,metal1,7.5,46.2707
topmetal1,metal1,8.0,44.8302
topmetal1,metal1,8.5,43.5297
topmetal1,metal1,9.0,42.3938
topmetal1,metal1,10.0,40.6003
topmetal1,metal1,15.0,32.6730
topmetal1,metal1,20.0,27.5037
topmetal2,metal1,2.0,106.1002
topmetal2,metal1,3.0,93.9176
topmetal2,metal1,5.0,79.3774
topmetal2,metal1,7.0,70.6642
topmetal2,metal1,7.2,70.5796
topmetal2,metal1,7.5,68.5240
topmetal2,metal1,8.0,66.9808
topmetal2,metal1,8.5,65.9371
topmetal2,metal1,9.0,64.1564
topmetal2,metal1,10.0,61.3367
topmetal2,metal1,15.0,50.9879
topmetal2,metal1,20.0,43.9492
topmetal1,metal2,1.0,84.5035
topmetal1,metal2,2.0,68.3062
topmetal1,metal2,3.0,59.3692
topmetal1,metal2,5.0,49.2461
topmetal1,metal2,7.0,41.9273
topmetal1,metal2,7.2,41.2643
topmetal1,metal2,7.5,40.5632
topmetal1,metal2,8.0,39.2690
topmetal1,metal2,8.5,37.9559
topmetal1,metal2,9.0,37.0267
topmetal1,metal2,10.0,35.4105
topmetal1,metal2,15.0,28.0094
topmetal1,metal2,20.0,23.3037
topmetal2,metal2,2.0,100.5122
topmetal2,metal2,3.0,87.8068
topmetal2,metal2,5.0,74.5254
topmetal2,metal2,7.0,66.3494
topmetal2,metal2,7.2,65.6637
topmetal2,metal2,7.5,64.1764
topmetal2,metal2,8.0,63.2086
topmetal2,metal2,8.5,61.5764
topmetal2,metal2,9.0,59.5990
topmetal2,metal2,10.0,57.3714
topmetal2,metal2,15.0,47.5256
topmetal2,metal2,20.0,40.7631
topmetal1,metal3,1.0,73.4467
topmetal1,metal3,2.0,58.7727
topmetal1,metal3,3.0,50.9396
topmetal1,metal3,5.0,41.4806
topmetal1,metal3,7.0,35.1935
topmetal1,metal3,7.2,34.6408
topmetal1,metal3,7.5,33.9619
topmetal1,metal3,8.0,32.8793
topmetal1,metal3,8.5,31.8922
topmetal1,metal3,9.0,31.1265
topmetal1,metal3,10.0,29.1466
topmetal1,metal3,15.0,22.7287
topmetal1,metal3,20.0,18.6542
topmetal2,metal3,2.0,93.0605
topmetal2,metal3,3.0,81.9855
topmetal2,metal3,5.0,69.4251
topmetal2,metal3,7.0,61.4268
topmetal2,metal3,7.2,61.3935
topmetal2,metal3,7.5,59.7529
topmetal2,metal3,8.0,58.0811
topmetal2,metal3,8.5,56.8835
topmetal2,metal3,9.0,55.6054
topmetal2,metal3,10.0,53.0888
topmetal2,metal3,15.0,43.7678
topmetal2,metal3,20.0,37.3288
topmetal1,metal4,1.0,59.1548
topmetal1,metal4,2.0,47.7459
topmetal1,metal4,3.0,40.7648
topmetal1,metal4,5.0,32.3593
topmetal1,metal4,7.0,27.1873
topmetal1,metal4,7.2,26.7318
topmetal1,metal4,7.5,26.2000
topmetal1,metal4,8.0,25.1717
topmetal1,metal4,8.5,24.2506
topmetal1,metal4,9.0,23.4001
topmetal1,metal4,10.0,21.9267
topmetal1,metal4,15.0,16.7012
topmetal1,metal4,20.0,13.4712
topmetal2,metal4,2.0,86.4101
topmetal2,metal4,3.0,75.5732
topmetal2,metal4,5.0,63.9151
topmetal2,metal4,7.0,56.5821
topmetal2,metal4,7.2,56.0707
topmetal2,metal4,7.5,55.0653
topmetal2,metal4,8.0,53.6325
topmetal2,metal4,8.5,52.1943
topmetal2,metal4,9.0,51.0418
topmetal2,metal4,10.0,49.0029
topmetal2,metal4,15.0,39.8945
topmetal2,metal4,20.0,33.8212
topmetal1,metal5,1.0,41.4818
topmetal1,metal5,2.0,32.3659
topmetal1,metal5,3.0,26.6933
topmetal1,metal5,5.0,20.1325
topmetal1,metal5,7.0,16.2047
topmetal1,metal5,7.2,15.8131
topmetal1,metal5,7.5,15.3678
topmetal1,metal5,8.0,14.6837
topmetal1,metal5,8.5,13.9939
topmetal1,metal5,9.0,13.4636
topmetal1,metal5,10.0,12.6323
topmetal1,metal5,15.0,9.2249
topmetal1,metal5,20.0,7.2941
topmetal2,metal5,2.0,78.8600
topmetal2,metal5,3.0,69.6583
topmetal2,metal5,5.0,58.7972
topmetal2,metal5,7.0,51.6689
topmetal2,metal5,7.2,51.0897
topmetal2,metal5,7.5,50.3644
topmetal2,metal5,8.0,48.5995
topmetal2,metal5,8.5,47.5259
topmetal2,metal5,9.0,46.2929
topmetal2,metal5,10.0,44.0891
topmetal2,metal5,15.0,35.7847
topmetal2,metal5,20.0,30.1290
topmetal2,topmetal1,2.0,55.9772
topmetal2,topmetal1,3.0,48.9992
topmetal2,topmetal1,5.0,40.4008
topmetal2,topmetal1,7.0,34.5137
topmetal2,topmetal1,7.2,33.9599
topmetal2,topmetal1,7.5,33.4783
topmetal2,topmetal1,8.0,32.2553
topmetal2,topmetal1,8.5,31.1385
topmetal2,topmetal1,9.0,30.2597
topmetal2,topmetal1,10.0,28.6215
topmetal2,topmetal1,15.0,22.3284
topmetal2,topmetal1,20.0,18.2882
