signal,ground,width_um,Zc
topmetal1,metal1,1.0,93.5049
topmetal1,metal1,2.0,74.4361
topmetal1,metal1,3.0,65.2575
topmetal1,metal1,5.0,54.0652
topmetal1,metal1,7.0,47.1906
topmetal1,metal1,7.2,46.6245
topmetal1,metal1,7.5,45.7186
topmetal1,metal1,8.0,44.3606
topmetal1,metal1,8.5,43.1330
topmetal1,metal1,9.0,42.0208
topmetal1,metal1,10.0,40.3377
topmetal1,metal1,15.0,32.7106
topmetal1,metal1,20.0,27.6294
topmetal2,metal1,2.0,100.9226
topmetal2,metal1,3.0,89.0461
topmetal2,metal1,5.0,75.4168
topmetal2,metal1,7.0,67.1553
topmetal2,metal1,7.2,66.6281
topmetal2,metal1,7.5,65.3969
topmetal2,metal1,8.0,63.7606
topmetal2,metal1,8.5,62.6008
topmetal2,metal1,9.0,60.9423
topmetal2,metal1,10.0,59.0184
topmetal2,metal1,15.0,49.5753
topmetal2,metal1,20.0,43.1113
topmetal1,metal2,1.0,81.9118
topmetal1,metal2,2.0,66.7015
topmetal1,metal2,3.0,58.4303
topmetal1,metal2,5.0,48.4004
topmetal1,metal2,7.0,41.7207
topmetal1,metal2,7.2,41.0568
topmetal1,metal2,7.5,40.3852
topmetal1,metal2,8.0,39.0798
topmetal1,metal2,8.5,37.8808
topmetal1,metal2,9.0,36.7682
topmetal1,metal2,10.0,35.2702
topmetal1,metal2,15.0,28.1494
topmetal1,metal2,20.0,23.5004
topmetal2,metal2,2.0,95.6777
topmetal2,metal2,3.0,84.1423
topmetal2,metal2,5.0,71.5450
topmetal2,metal2,7.0,63.5238
topmetal2,metal2,7.2,62.9206
topmetal2,metal2,7.5,62.0353
topmetal2,metal2,8.0,60.5772
topmetal2,metal2,8.5,59.1408
topmetal2,metal2,9.0,57.5586
topmetal2,metal2,10.0,55.6707
topmetal2,metal2,15.0,46.4727
topmetal2,metal2,20.0,40.2532
topmetal1,metal3,1.0,72.2278
topmetal1,metal3,2.0,57.8179
topmetal1,metal3,3.0,50.3780
topmetal1,metal3,5.0,41.1191
topmetal1,metal3,7.0,35.2102
topmetal1,metal3,7.2,34.5319
topmetal1,metal3,7.5,33.9132
topmetal1,metal3,8.0,32.7498
topmetal1,metal3,8.5,31.7568
topmetal1,metal3,9.0,30.9548
topmetal1,metal3,10.0,29.2480
topmetal1,metal3,15.0,22.8794
topmetal1,metal3,20.0,18.8723
topmetal2,metal3,2.0,89.6972
topmetal2,metal3,3.0,79.0799
topmetal2,metal3,5.0,67.3042
topmetal2,metal3,7.0,59.4698
topmetal2,metal3,7.2,58.9769
topmetal2,metal3,7.5,57.9516
topmetal2,metal3,8.0,56.5696
topmetal2,metal3,8.5,55.3343
topmetal2,metal3,9.0,53.9033
topmetal2,metal3,10.0,52.0592
topmetal2,metal3,15.0,43.1653
topmetal2,metal3,20.0,37.1781
topmetal1,metal4,1.0,58.7806
topmetal1,metal4,2.0,47.2072
topmetal1,metal4,3.0,40.4366
topmetal1,metal4,5.0,32.1346
topmetal1,metal4,7.0,27.0431
topmetal1,metal4,7.2,26.5968
topmetal1,metal4,7.5,26.0804
topmetal1,metal4,8.0,24.9800
topmetal1,metal4,8.5,24.0038
topmetal1,metal4,9.0,23.3150
topmetal1,metal4,10.0,21.9870
topmetal1,metal4,15.0,16.7337
topmetal1,metal4,20.0,13.5746
topmetal2,metal4,2.0,83.6148
topmetal2,metal4,3.0,73.7171
topmetal2,metal4,5.0,62.4724
topmetal2,metal4,7.0,55.3901
topmetal2,metal4,7.2,54.7836
topmetal2,metal4,7.5,53.9794
topmetal2,metal4,8.0,52.5962
topmetal2,metal4,8.5,51.2690
topmetal2,metal4,9.0,50.0417
topmetal2,metal4,10.0,48.1856
topmetal2,metal4,15.0,39.5973
topmetal2,metal4,20.0,33.8627
topmetal1,metal5,1.0,41.3476
topmetal1,metal5,2.0,32.1124
topmetal1,metal5,3.0,26.5184
topmetal1,metal5,5.0,19.9890
topmetal1,metal5,7.0,16.0961
topmetal1,metal5,7.2,15.7374
topmetal1,metal5,7.5,15.2494
topmetal1,metal5,8.0,14.5725
topmetal1,metal5,8.5,13.9127
topmetal1,metal5,9.0,13.3868
topmetal1,metal5,10.0,12.5028
topmetal1,metal5,15.0,9.1586
topmetal1,metal5,20.0,7.2424
topmetal2,metal5,2.0,77.2103
topmetal2,metal5,3.0,68.0558
topmetal2,metal5,5.0,57.7445
topmetal2,metal5,7.0,50.8835
topmetal2,metal5,7.2,50.2538
topmetal2,metal5,7.5,49.5681
topmetal2,metal5,8.0,48.0679
topmetal2,metal5,8.5,46.9054
topmetal2,metal5,9.0,45.7071
topmetal2,metal5,10.0,43.7895
topmetal2,metal5,15.0,35.7051
topmetal2,metal5,20.0,30.2692
topmetal2,topmetal1,2.0,55.5475
topmetal2,topmetal1,3.0,48.6760
topmetal2,topmetal1,5.0,40.2408
topmetal2,topmetal1,7.0,34.4789
topmetal2,topmetal1,7.2,33.8750
topmetal2,topmetal1,7.5,33.3965
topmetal2,topmetal1,8.0,32.1017
topmetal2,topmetal1,8.5,31.1539
topmetal2,topmetal1,9.0,30.1613
topmetal2,topmetal1,10.0,28.7006
topmetal2,topmetal1,15.0,22.3955
topmetal2,topmetal1,20.0,18.4422
