design_ghz,return_loss,isolation,excess_loss,imbalance,phase_err
60.0000,-22.5094,-7.6404,0.6865,-0.0016,0.0302
80.0000,-23.2913,-7.4158,0.5715,-0.0128,0.0691
100.0000,-23.8775,-7.2641,0.4985,-0.0107,0.0648
120.0000,-24.2485,-7.1530,0.4467,-0.0003,0.0156
140.0000,-24.7595,-7.0590,0.4086,-0.0085,0.0318
160.0000,-25.0299,-6.9865,0.3791,-0.0078,0.0077
180.0000,-25.2430,-6.9213,0.3551,-0.0000,0.0266
200.0000,-25.5660,-6.8627,0.3359,-0.0012,0.0147
220.0000,-25.5150,-6.8173,0.3208,-0.0008,0.0078
240.0000,-25.8010,-6.7740,0.3063,-0.0027,0.0247
260.0000,-25.8673,-6.7307,0.2947,-0.0149,0.0364
280.0000,-25.9804,-6.6908,0.2857,-0.0199,0.0297
300.0000,-26.1493,-6.6680,0.2761,0.0006,0.0006
